project_id,state,district,project_type,land_area_ha,affected_families,pending_approvals,approval_delay_days,documentation_pct,legal_cases,court_stay,compensation_pct,compensation_delay_days,possession_pct,rr_progress_pct,stakeholder_delay_days,historical_delay_rate,planned_days,actual_days,delay_days,delay_stage,delay_reason,delayed,risk_score,risk_level,latitude,longitude,project_name,current_stage,notification_status,current_elapsed_days
LA1001,Odisha,Nayagarh,Industrial Corridor,137.1,205,0,57,100.0,0,0,97.5,0,89.1,73.8,2,0.03,317,332,15,,,0,20.2,Low,20.145,85.15400000000001,Nayagarh Industrial Corridor Corridor (LA1001),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,206
LA1002,Kerala,Thrissur,Railway,63.2,186,1,38,78.0,0,0,100.0,0,100.0,94.8,4,0.531,218,226,8,,,0,64.5,Medium,10.5496,76.2524,Thrissur Railway Corridor (LA1002),Possession,Section 19 (Declaration) Issued,142
LA1003,Bihar,Araria,Highway,83.5,187,2,41,83.4,2,0,55.6,67,65.8,76.9,22,0.292,199,346,147,Approval,Pending Approval,1,95.2,High,26.1742,87.4698,Araria Highway Corridor (LA1003),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,129
LA1004,Kerala,Thrissur,Metro,85.9,118,4,94,45.8,0,0,98.3,0,100.0,100.0,21,0.333,341,544,203,Notification,Documentation,1,91.4,High,10.4946,76.2204,Thrissur Metro Corridor (LA1004),Possession,Section 11 (Preliminary) Issued,222
LA1005,Maharashtra,Nashik,Expressway,54.4,116,2,40,71.3,3,0,72.4,25,58.2,58.6,7,0.185,484,664,180,Possession,Legal Dispute,1,98.0,High,19.950499999999998,73.7768,Nashik Expressway Corridor (LA1005),Notification,Section 11 (Preliminary) Issued,315
LA1006,Odisha,Khordha,Highway,228.6,616,2,71,77.9,2,0,71.7,36,71.2,75.4,20,0.397,244,403,159,Notification,Documentation,1,97.6,High,20.1925,85.6262,Khordha Highway Corridor (LA1006),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,159
LA1007,Odisha,Nayagarh,Industrial Corridor,118.9,437,2,0,98.7,1,0,89.9,13,93.9,90.0,19,0.23,376,493,117,Approval,Pending Approval,1,46.2,Medium,20.12,85.122,Nayagarh Industrial Corridor Corridor (LA1007),Possession,Section 19 (Declaration) Issued,244
LA1008,Uttar Pradesh,Lucknow,Industrial Corridor,47.4,121,2,23,80.0,1,0,78.3,42,91.6,94.1,2,0.56,363,363,0,,,0,82.1,High,26.837699999999998,80.9582,Lucknow Industrial Corridor Corridor (LA1008),Possession,Section 19 (Declaration) Issued,236
LA1009,Tamil Nadu,Salem,Metro,70.6,183,2,59,79.9,4,0,80.9,58,97.6,75.5,14,0.447,238,387,149,Notification,Documentation,1,95.2,High,11.7093,78.137,Salem Metro Corridor (LA1009),Possession,Section 19 (Declaration) Issued,155
LA1010,Bihar,Supaul,Highway,120.6,235,1,75,76.7,0,0,88.9,0,96.8,88.8,7,0.314,264,271,7,,,0,61.3,Medium,26.080000000000002,86.637,Supaul Highway Corridor (LA1010),Possession,Section 19 (Declaration) Issued,172
LA1011,Tamil Nadu,Salem,Highway,113.3,231,3,18,72.1,2,0,88.6,0,52.8,32.4,25,0.593,194,384,190,R&R,R&R Bottleneck,1,100.0,High,11.6553,78.134,Salem Highway Corridor (LA1011),Compensation Disbursement,Section 11 (Preliminary) Issued,126
LA1012,Andhra Pradesh,Krishna,Metro,95.2,143,0,10,81.2,0,0,82.0,34,91.6,77.9,1,0.197,365,536,171,R&R,R&R Bottleneck,1,75.0,High,16.1689,81.1173,Krishna Metro Corridor (LA1012),Possession,Section 19 (Declaration) Issued,237
LA1013,Odisha,Nayagarh,Highway,137.1,389,2,50,86.9,3,0,81.1,16,78.4,89.3,14,0.206,404,539,135,Notification,Documentation,1,84.6,High,20.106,85.14800000000001,Nayagarh Highway Corridor (LA1013),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,263
LA1014,Uttar Pradesh,Kanpur,Expressway,88.8,194,4,74,80.3,0,0,98.2,2,100.0,85.6,27,0.175,335,342,7,,,0,68.2,Medium,26.4619,80.3799,Kanpur Expressway Corridor (LA1014),Possession,Section 19 (Declaration) Issued,218
LA1015,Andhra Pradesh,Guntur,Highway,197.0,671,2,21,73.0,3,0,79.9,35,95.6,82.8,19,0.27,491,493,2,,,0,78.3,High,16.2847,80.4705,Guntur Highway Corridor (LA1015),Possession,Section 11 (Preliminary) Issued,319
LA1016,Telangana,Hyderabad,Railway,74.0,184,0,23,100.0,3,0,91.6,5,92.9,89.2,18,0.329,317,511,194,Compensation,Compensation Delay,1,86.6,High,17.352,78.4787,Hyderabad Railway Corridor (LA1016),Possession,Section 19 (Declaration) Issued,206
LA1017,Uttar Pradesh,Lucknow,Highway,373.7,705,1,18,94.3,0,0,58.8,59,88.8,100.0,7,0.122,219,225,6,,,0,86.8,High,26.8727,80.90520000000001,Lucknow Highway Corridor (LA1017),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,142
LA1018,Tamil Nadu,Coimbatore,Industrial Corridor,109.1,242,4,47,70.9,8,0,69.2,18,61.8,75.9,39,0.174,377,636,259,Compensation,Compensation Delay,1,100.0,High,10.9758,76.9478,Coimbatore Industrial Corridor Corridor (LA1018),Rehabilitation & Resettlement,Section 11 (Preliminary) Issued,245
LA1019,Uttar Pradesh,Lucknow,Highway,237.0,398,0,43,70.7,3,0,100.0,0,100.0,100.0,14,0.204,364,460,96,Notification,Documentation,1,75.3,High,26.8387,80.90220000000001,Lucknow Highway Corridor (LA1019),Possession,Section 11 (Preliminary) Issued,237
LA1020,Kerala,Ernakulam,Highway,114.2,180,2,27,70.1,1,0,91.6,2,76.9,70.0,8,0.294,288,300,12,,,0,77.7,High,9.9376,76.32889999999999,Ernakulam Highway Corridor (LA1020),Rehabilitation & Resettlement,Section 11 (Preliminary) Issued,187
