project_id,project_name,project_type,state,district,latitude,longitude,land_area_acres,affected_families,planned_duration_days,historical_district_delay_rate,historical_project_type_delay_rate,current_stage,notification_status,documentation_completion_pct,approval_delay_days,pending_approvals,compensation_approved_pct,compensation_paid_pct,compensation_pending_families,legal_disputes,average_dispute_age_days,ownership_conflicts,rr_progress_pct,rehabilitation_pending_families,possession_pct,stakeholder_response_days,department_backlog,current_elapsed_days,delayed,actual_delay_days,planned_completion_date,actual_completion_date
PRJ-0001,SEZ Hub (Agra),Industrial Area,Uttar Pradesh,Agra,27.222952651723478,77.95607889542097,120.6,63,853,0.22272998688284024,0.3,Compensation Assessment,Completed,89.6,22.0,2,71.9,0.0,63,3,208.1,1,0.0,63,0.0,24.0,68,520,1,431.0,2023-06-13,2024-08-17
PRJ-0002,Dam Construction - Nashik,Irrigation,Maharashtra,Nashik,20.05186559033918,73.76361908149197,479.0,147,852,0.2124074561769746,0.4,Notification,In Progress,19.7,1.0,3,0.0,0.0,147,1,174.6,2,0.0,147,0.0,48.0,36,164,1,463.0,2024-12-26,2026-04-03
PRJ-0003,Varanasi Metro Phase 2 - Line A,Metro,Uttar Pradesh,Varanasi,25.30344417964935,82.92489658462108,80.4,32,669,0.23493564427131047,0.5,Objections / Legal Review,Completed,87.6,9.0,0,0.0,0.0,32,2,205.8,2,0.0,32,0.0,31.0,5,296,1,370.0,2024-01-08,2025-01-12
PRJ-0004,International Airport Runway Phase 1 - Lucknow,Airport,Uttar Pradesh,Lucknow,26.800172730999467,80.97340886782753,119.9,125,751,0.15823379771832097,0.55,Notification,In Progress,0.4,70.0,0,0.0,0.0,125,2,156.8,2,0.0,125,0.0,33.0,24,179,1,427.0,2023-02-04,2024-04-06
PRJ-0005,SEZ Hub (Chennai),Industrial Area,Tamil Nadu,Chennai,13.136019868289797,80.28398981939452,160.6,150,1229,0.21239780813448106,0.3,Compensation Assessment,Completed,90.2,42.0,1,44.0,0.0,150,2,108.0,4,0.0,150,0.0,43.0,5,776,1,516.0,2026-01-27,2027-06-27
PRJ-0006,International Airport Runway Phase 1 - Chennai,Airport,Tamil Nadu,Chennai,13.108602001863218,80.30213636935166,466.3,238,1053,0.21239780813448106,0.55,Compensation Assessment,Completed,85.3,25.0,3,86.5,0.0,238,2,46.5,1,0.0,238,0.0,22.0,38,683,1,492.0,2025-09-29,2027-02-03
PRJ-0007,Industrial Corridor (Mumbai),Urban Development,Maharashtra,Mumbai,19.047537712946355,72.82312755571043,426.1,633,694,0.299816047538945,0.25,Compensation Disbursement,Completed,85.4,12.0,0,99.1,16.8,526,1,22.2,0,0.0,633,0.0,21.0,3,392,0,0.0,2024-09-16,2024-09-16
PRJ-0008,NH Route-896 (Noida Segment),Highway,Uttar Pradesh,Noida,28.4757247292703,77.37307791395449,190.8,96,1460,0.4829770563201687,0.35,Rehabilitation & Resettlement,Completed,87.5,5.0,0,91.8,93.7,6,1,353.7,3,69.2,29,0.0,37.0,59,1339,0,0.0,2025-08-12,2025-08-12
PRJ-0009,Pune Metro Phase 1 - Line B,Metro,Maharashtra,Pune,18.489375707383903,73.80417812700591,70.1,120,459,0.5302857225639664,0.5,Objections / Legal Review,Completed,99.8,60.0,1,0.0,0.0,120,1,126.4,3,0.0,120,0.0,51.0,67,226,1,311.0,2023-06-10,2024-04-16
PRJ-0010,Power/Grid Development Project - Mysuru,Power/Grid,Karnataka,Mysuru,12.25734339509924,76.59433986779214,123.3,146,997,0.27169689718381507,0.2,Survey & Documentation,Completed,38.2,34.0,0,0.0,0.0,146,2,225.3,4,0.0,146,0.0,27.0,56,357,1,648.0,2024-04-08,2026-01-16
